Name,POS,"Ht("")",Wt (lbs),40yd,40Z,BP,BPZ,"Vertical ("")",VZ,"Broad Jump("")",BJZ,Shuttle,SZ,3Cone,3CZ,TotZ,AvgZ,Rd,Pick,Rank,,GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braxston Cave,C,75.25,303,5.33,-1.803122085,,,25.5,-1.580095899,98,-1.83514468,4.71,-1.001399294,7.81,-1.448139653,-7.667901611,-1.533580322,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Brian Schwenke,C,75,314,4.99,-0.675803006,31,1.494907447,26.5,-1.348617474,108,-0.779330526,4.74,-1.108817564,7.31,-0.21503416,-2.632695282,-0.438782547,4,107,94,,9,567,0,0,567,63,,11,648,0,36,684,62.18181818,,5,305,0,17,322,64.4,,16,247,0,67,314,19.625,,16,148,0,74,222,13.875,
Joe Madsen,C,75.38,310,5.2,-1.372088319,25,0.641716367,25,-1.695835112,98,-1.83514468,4.83,-1.431072374,7.6,-0.930235346,-6.622659464,-1.103776577,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Matt Stankiewitch,C,75,302,5.43,-2.13468652,27,0.926113394,24,-1.927313536,92,-2.468633173,4.96,-1.896551544,7.9,-1.670098642,-9.171170022,-1.528528337,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
P.J. Lonergan,C,75.25,304,5.38,-1.968904302,25,0.641716367,,,,,,,,,-1.327187935,-0.663593967,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
T.J. Johnson,C,76.25,310,5.33,-1.803122085,32,1.63710596,25.5,-1.580095899,96,-2.046307511,4.74,-1.108817564,7.83,-1.497463873,-6.398700972,-1.066450162,7,251,195,,,,,,0,,,4,6,0,5,11,2.75,,12,16,0,43,59,4.916666667,,16,99,0,70,169,10.5625,,13,236,0,42,278,21.38461538,
Travis Frederick,C,75.63,312,5.58,-2.632033172,21,0.072922314,28.5,-0.885660624,97,-1.940726096,4.76,-1.180429744,7.81,-1.448139653,-8.014066975,-1.335677829,1,31,30,,16,998,0,58,1056,66,,16,1060,0,85,1145,71.5625,,16,1029,0,57,1086,67.875,,16,1058,0,79,1137,71.0625,,16,1065,0,68,1133,70.8125,
Aaron Hester,CB,73.63,198,4.62,0.550985404,,,29,-0.769921412,112,-0.357004864,4.33,0.359232128,7.26,-0.091723611,-0.308432355,-0.061686471,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Adrian Bushell,CB,69.38,186,4.58,0.683611178,17,-0.495871739,33,0.155992288,116,0.065320798,4.25,0.645680848,6.92,0.746788125,1.801521498,0.300253583,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
B.W. Webb,CB,70.25,184,4.51,0.915706283,14,-0.922467278,40.5,1.892080475,132,1.754623445,3.84,2.113730539,6.82,0.993409224,6.747082687,1.124513781,4,114,100,,15,0,179,143,322,21.46666667,,11,0,4,35,39,3.545454545,,9,0,256,92,348,38.66666667,,14,0,587,80,667,47.64285714,,,,,,0,,
Blidi Wreh-Wilson,CB,73,195,4.53,0.849393396,14,-0.922467278,36,0.850427563,128,1.332297783,4.12,1.111160018,6.97,0.623477576,3.844289057,0.640714843,3,70,64,,13,0,92,243,335,25.76923077,,11,0,670,113,783,71.18181818,,10,0,293,169,462,46.2,,1,0,2,9,11,11,,8,0,65,69,134,16.75,
Brandon McGee,CB,71,193,4.4,1.280427161,14,-0.922467278,33.5,0.2717315,119,0.382065044,4.18,0.896323478,6.71,1.264692432,3.172772338,0.52879539,5,149,127,,15,0,78,235,313,20.86666667,,2,0,26,25,51,25.5,,1,0,0,8,8,8,,,,,,0,,,,,,,0,,
Darius Slay,CB,71.88,192,4.36,1.413052935,14,-0.922467278,35.5,0.73468835,124,0.909972122,4.21,0.788905208,6.9,0.796112345,3.720263682,0.620043947,2,36,34,,13,0,338,170,508,39.07692308,,16,0,1012,30,1042,65.125,,16,0,994,48,1042,65.125,,13,0,731,46,777,59.76923077,,16,0,1064,83,1147,71.6875,
David Amerson,CB,73,205,4.44,1.147801387,15,-0.780268765,35.5,0.73468835,127,1.226716368,,,,,2.328937341,0.582234335,2,51,46,,16,0,685,98,783,48.9375,,15,0,905,121,1026,68.4,,16,0,879,48,927,57.9375,,15,0,959,0,959,63.93333333,,6,0,287,0,287,47.83333333,
Dax Swanson,CB,70,186,4.56,0.749924065,15,-0.780268765,33,0.155992288,122,0.698809291,,,,,0.824456879,0.20611422,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Dee Milliner,CB,71.88,201,4.37,1.379896492,,,36,0.850427563,122,0.698809291,4.32,0.395038218,6.95,0.672801795,3.996973358,0.799394672,1,9,9,,13,0,723,15,738,56.76923077,,3,0,116,10,126,42,,5,0,0,47,47,9.4,,,,,,0,,,,,,,0,,
Demetrius McCray,CB,72.88,187,4.54,0.816236952,4,-2.344452411,36,0.850427563,126,1.121134953,4.32,0.395038218,7.17,0.130235378,0.968620653,0.161436775,7,210,166,,16,0,92,363,455,28.4375,,16,0,815,223,1038,64.875,,14,0,225,289,514,36.71428571,,,,,,0,,,3,0,0,23,23,7.666666667,
Desmond Trufant,CB,71.63,190,4.38,1.346740048,16,-0.638070252,37.5,1.1976452,125,1.015553537,3.85,2.077924449,,,4.999792983,0.999958597,1,22,21,,16,0,1000,6,1006,62.875,,16,0,1076,60,1136,71,,16,0,966,146,1112,69.5,,9,0,591,67,658,73.11111111,,15,0,901,65,966,64.4,
Dwayne Gratz,CB,71.13,201,4.47,1.048332057,22,0.215120828,38,1.313384413,125,1.015553537,4.15,1.003741748,6.7,1.289354542,5.885487124,0.980914521,3,64,58,,10,0,485,31,516,51.6,,15,0,855,95,950,63.33333333,,12,0,455,153,608,50.66666667,,3,0,84,33,117,39,,,,,,0,,
Greg Reid,CB,68.25,190,4.46,1.0814885,10,-1.491261331,,,,,,,,,-0.409772831,-0.204886415,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Jamar Taylor,CB,70.63,192,4.39,1.313583605,22,0.215120828,35,0.618949138,127,1.226716368,4.06,1.325996558,6.82,0.993409224,5.69377572,0.94896262,2,54,49,,9,0,42,53,95,10.55555556,,12,0,293,103,396,33,,12,0,712,5,717,59.75,,15,0,921,90,1011,67.4,,16,0,965,117,1082,67.625,
Johnny Adams,CB,70.25,185,4.48,1.015175613,16,-0.638070252,,,,,,,,,0.377105362,0.188552681,,,,,4,0,0,49,49,12.25,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Johnthan Banks,CB,74,185,4.61,0.584141848,10,-1.491261331,34,0.387470713,125,1.015553537,4.27,0.574068668,6.97,0.623477576,1.69345101,0.282241835,2,43,40,,16,0,939,96,1035,64.6875,,15,0,910,59,969,64.6,,14,0,434,83,517,36.92857143,,9,0,133,55,188,20.88888889,,3,0,88,10,98,32.66666667,
Jordan Poyer,CB,71.88,191,4.54,0.816236952,8,-1.775658358,30.5,-0.422703774,118,0.276483629,4.18,0.896323478,6.87,0.870098674,0.660780601,0.1101301,7,218,172,,12,0,129,182,311,25.91666667,,16,0,115,367,482,30.125,,14,0,424,269,693,49.5,,6,0,354,75,429,71.5,,15,0,1038,79,1117,74.46666667,
Josh Johnson,CB,69.38,199,4.65,0.451516074,16,-0.638070252,35,0.618949138,114,-0.145842033,4.25,0.645680848,6.99,0.574153356,1.50638713,0.251064522,,,,,2,15,0,0,15,7.5,,,,,,0,,,,,,,0,,,8,0,134,48,182,22.75,,,,,,0,,
Kayvon Webster,CB,70.5,195,4.41,1.247270718,14,-0.922467278,35,0.618949138,125,1.015553537,,,,,1.959306114,0.489826529,3,90,80,,14,0,479,211,690,49.28571429,,12,0,130,272,402,33.5,,15,0,69,276,345,23,,13,0,59,252,311,23.92307692,,11,0,552,5,557,50.63636364,
Khalid Wooten,CB,71,210,4.53,0.849393396,17,-0.495871739,33.5,0.2717315,117,0.170902213,4.18,0.896323478,6.95,0.672801795,2.365280644,0.394213441,6,202,164,,,,,,0,,,3,0,0,45,45,15,,,,,,0,,,,,,,0,,,,,,,0,,
Leon McFadden,CB,69.63,193,4.54,0.816236952,10,-1.491261331,34.5,0.503209925,119,0.382065044,4.27,0.574068668,6.81,1.018071333,1.802390592,0.300398432,3,68,62,,16,0,245,176,421,26.3125,,7,0,81,67,148,21.14285714,,2,0,0,18,18,9,,9,0,56,124,180,20,,,,,,0,,
Logan Ryan,CB,71.13,191,4.56,0.749924065,14,-0.922467278,32.5,0.040253076,116,0.065320798,4.06,1.325996558,6.69,1.314016652,2.573043871,0.428840645,3,83,74,,16,0,599,123,722,45.125,,16,0,510,215,725,45.3125,,16,0,976,52,1028,64.25,,16,0,897,3,900,56.25,,15,0,922,64,986,65.73333333,
Marc Anthony,CB,71.38,196,4.63,0.517828961,12,-1.206864305,35,0.618949138,118,0.276483629,4.07,1.290190468,6.74,1.190706103,2.687293993,0.447882332,7,247,193,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
Micah Hyde,CB,71.75,197,4.56,0.749924065,12,-1.206864305,33,0.155992288,121,0.593227875,4.2,0.824711298,6.78,1.092057663,2.209048885,0.368174814,5,159,133,,16,0,417,238,655,40.9375,,16,0,708,192,900,56.25,,15,0,647,215,862,57.46666667,,16,0,817,230,1047,65.4375,,16,0,1065,82,1147,71.6875,
Mike Edwards,CB,69,189,4.56,0.749924065,14,-0.922467278,36,0.850427563,124,0.909972122,4.18,0.896323478,6.94,0.697463905,3.181643854,0.530273976,,,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,,,,,,0,,
